Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,% GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GNS,GNS WR,IIH
Earth Village Ruffians,BG,C,337792,6.57,43355,9.47,128592,45.10%,54.20%,22718,53.10%,31858,54.20%,54576,53.80%,73855,54.60%,-0.8pp
Fire Lord Azula,UBR,R,31927,3.79,6625,4.64,22786,48.70%,50.00%,3658,49.80%,6580,51.20%,10238,50.70%,12269,49.10%,1.5pp
Fire Lord Zuko,WBR,R,48022,5.09,6199,7.44,6010,14.60%,46.00%,1063,46.80%,1483,45.90%,2546,46.30%,3413,45.40%,0.9pp
Foggy Swamp Spirit Keeper,UB,U,79144,4.35,24125,4.9,127812,75.10%,56.50%,22286,58.90%,39138,60.30%,61424,59.80%,66695,53.40%,6.4pp
Guru Pathik,UG,U,78547,3.96,21546,4.77,112096,76.70%,55.90%,19050,55.70%,32257,58.60%,51307,57.50%,60006,54.40%,3.1pp
"Hama, the Bloodbender",UB,U,85414,4.32,20142,5.35,101923,76.80%,53.90%,17484,49.80%,29343,57.10%,46827,54.40%,55004,53.40%,1.0pp
"Hei Bai, Spirit of Balance",WB,U,84313,4.24,15300,5.5,73941,74.00%,53.60%,12383,52.50%,19333,54.10%,31716,53.50%,42428,53.70%,-0.2pp
Hermitic Herbalist,UG,U,88719,4.69,19829,5.66,92124,69.30%,54.80%,16154,59.40%,24533,55.60%,40687,57.10%,51004,52.90%,4.2pp
"Iroh, Grand Lotus",URG,R,21603,2.93,8343,3.1,53830,78.10%,54.80%,8885,54.20%,15984,61.40%,24869,58.90%,28398,50.90%,7.9pp
"Iroh, Tea Master",WR,R,35727,3.98,8882,4.77,39677,61.50%,56.10%,6962,58.10%,9443,57.10%,16405,57.60%,23182,54.90%,2.7pp
