"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Monoist Circuit-Feeder","B","U","78104","3.01","28642","3.42","153095","87.0%","56.0%","25194","54.8%","42932","60.9%","68126","58.7%","83795","53.6%","5.1pp"
"Monoist Sentry","B","U","144610","5.49","19605","8.10","52117","44.7%","52.1%","9519","51.7%","13675","53.7%","23194","52.8%","28009","51.3%","1.5pp"
"Perigee Beckoner","B","C","348125","5.42","62249","7.42","267502","70.7%","55.2%","44586","53.9%","72247","58.2%","116833","56.5%","149843","54.1%","2.5pp"
"Requiem Monolith","B","R","24004","2.44","10014","2.59","50250","84.3%","53.5%","8566","55.4%","13216","55.1%","21782","55.2%","28245","52.2%","3.1pp"
"Scrounge for Eternity","B","U","145050","5.73","18307","8.56","33744","31.2%","50.5%","5683","45.6%","9026","51.2%","14709","49.1%","18959","51.5%","-2.4pp"
"Sothera, the Supervoid","B","M","9775","2.05","3696","2.10","17837","82.5%","51.7%","3120","51.4%","4897","53.4%","8017","52.6%","9727","50.9%","1.7pp"
"Sunset Saboteur","B","R","25279","2.54","11568","2.59","62036","86.3%","57.1%","11250","63.8%","16538","59.9%","27788","61.5%","34022","53.5%","8.0pp"
"Susurian Dirgecraft","B","U","114342","4.17","18115","5.92","71835","66.5%","53.1%","11844","51.0%","19539","55.9%","31383","54.0%","39850","52.2%","1.9pp"
"Susurian Voidborn","B","U","101793","3.75","19638","5.03","95314","81.5%","53.6%","16517","52.8%","25290","56.4%","41807","55.0%","53279","52.4%","2.6pp"
"Swarm Culler","B","C","381809","6.12","50849","9.02","146363","48.2%","52.6%","24637","49.8%","39263","54.0%","63900","52.4%","82258","52.8%","-0.4pp"
"Temporal Intervention","B","C","419806","8.03","47555","11.70","14519","5.1%","49.9%","2456","49.1%","3844","51.7%","6300","50.7%","8169","49.2%","1.5pp"
"Timeline Culler","B","U","111830","4.15","20187","5.63","96023","78.5%","55.3%","17148","56.8%","24640","56.3%","41788","56.5%","54194","54.3%","2.2pp"
"Tragic Trajectory","B","U","72526","2.77","24839","3.29","137163","90.5%","55.3%","23782","54.9%","37282","59.0%","61064","57.4%","75261","53.5%","3.9pp"
"Umbral Collar Zealot","B","U","87049","3.26","25675","3.94","140746","90.0%","55.4%","25279","57.6%","36857","57.3%","62136","57.4%","78265","53.8%","3.6pp"
