"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"You're Not Alone","W","C","552023","7.04","74865","9.82","210402","45.5%","56.8%","34718","55.1%","48263","56.9%","82981","56.1%","127202","57.2%","-1.1pp"
"Zack Fair","W","U","129131","3.77","29198","4.64","156446","85.8%","56.9%","27901","58.9%","36159","56.8%","64060","57.7%","91486","56.4%","1.3pp"
"Astrologian's Planisphere","U","R","25419","2.14","13270","2.20","75521","91.7%","55.4%","13772","58.7%","20188","57.0%","33960","57.7%","39502","53.1%","4.5pp"
"Cargo Ship","U","U","203127","6.54","28950","9.20","65935","37.5%","53.7%","11822","54.9%","16384","54.2%","28206","54.5%","36349","52.8%","1.8pp"
"Combat Tutorial","U","C","409236","4.66","109743","5.72","574750","84.2%","56.4%","99798","57.0%","157169","60.1%","256967","58.9%","312341","54.3%","4.6pp"
"Dragoon's Wyvern","U","C","361460","4.01","115634","4.84","650587","90.0%","56.8%","114966","57.6%","179005","59.4%","293971","58.7%","350467","55.1%","3.6pp"
"Dreams of Laguna","U","C","458032","5.18","105869","6.72","533353","81.5%","56.2%","95117","55.9%","144249","59.1%","239366","57.9%","292118","54.7%","3.1pp"
"Edgar, King of Figaro","U","R","55261","4.31","10614","5.54","34827","54.4%","52.5%","5754","49.6%","9200","55.7%","14954","53.4%","19729","51.7%","1.6pp"
"Eject","U","U","127690","3.70","46030","4.28","260793","90.7%","56.6%","44207","55.9%","73130","61.2%","117337","59.2%","140527","54.3%","5.0pp"
"Ether","U","U","224254","7.72","30875","10.97","24365","13.0%","50.7%","3955","45.5%","6909","52.2%","10864","49.7%","13371","51.4%","-1.7pp"
"Gogo, Master of Mimicry","U","M","20817","3.30","5071","3.95","21066","69.7%","51.9%","3606","48.7%","5789","53.5%","9395","51.7%","11536","51.9%","-0.2pp"
"Ice Flan","U","C","551039","6.71","80657","9.68","216651","44.2%","53.3%","38373","50.6%","60699","55.4%","99072","53.6%","116103","53.1%","0.5pp"
"Ice Magic","U","C","394934","4.35","109614","5.45","607006","89.1%","56.4%","105067","54.5%","170223","60.5%","275290","58.2%","325516","54.7%","3.5pp"
"Il Mheg Pixie","U","U","112209","3.27","40495","3.79","230977","91.8%","56.2%","41438","58.7%","63092","57.6%","104530","58.0%","124792","54.6%","3.4pp"
"Jill, Shiva's Dominant","U","R","19915","1.69","14523","1.70","87228","94.0%","57.6%","15451","61.1%","24134","63.6%","39585","62.6%","46350","53.3%","9.4pp"
"Louisoix's Sacrifice","U","R","81631","6.19","10393","9.38","5761","9.1%","48.4%","950","43.6%","1603","50.9%","2553","48.2%","3195","48.5%","-0.3pp"
"The Lunar Whale","U","R","24109","2.01","15718","2.03","92672","94.1%","56.2%","15861","58.2%","25661","60.0%","41522","59.3%","50128","53.5%","5.8pp"
"Magic Damper","U","C","566338","7.42","81835","10.47","161131","32.1%","54.6%","26798","53.1%","44496","57.6%","71294","55.9%","88981","53.4%","2.5pp"
"Matoya, Archon Elder","U","R","60458","4.62","10236","6.31","23764","38.9%","51.1%","4127","50.2%","6788","52.6%","10915","51.7%","12667","50.5%","1.2pp"
"Memories Returning","U","R","31875","2.59","16897","2.65","95951","90.3%","56.8%","16206","57.4%","26737","61.6%","42943","60.0%","52248","54.0%","6.0pp"
"The Prima Vista","U","U","213097","6.99","28035","10.11","42637","25.0%","52.0%","6970","49.4%","11943","53.5%","18913","52.0%","23516","52.0%","-0.0pp"
"Qiqirn Merchant","U","C","566625","7.35","84169","10.39","176738","34.7%","52.4%","30606","50.1%","48991","54.6%","79597","52.8%","96330","52.0%","0.8pp"
